Название,Сссылка на плейлист,Количество,Таймстемпы:,"Замечание:
",ID,,Всего:
"Жиза
",https://www.youtube.com/watch?v=F4wlXIx9koI&list=PLLkqhqUNdkjCC43di6igZ80NUJxFFfZNa,88,коммент,"Отлично для обучения, главное чтобы они не перевесили все остальное",PLLkqhqUNdkjCC43di6igZ80NUJxFFfZNa,,507
Бар в большом городе,https://www.youtube.com/watch?v=srWH2uYQhYo&list=PL64PMIimKfO39VIL6lQiJhVzqS7b2uEhk,47,коммент,,PL64PMIimKfO39VIL6lQiJhVzqS7b2uEhk,,
Парфенон 1,https://www.youtube.com/watch?v=ECFltWFIHOg&list=PLWC_P718eyWMSzz37QFYvqeqBVRmwIit4,15,описание,"
",PLWC_P718eyWMSzz37QFYvqeqBVRmwIit4,,
Парфенон 2,https://www.youtube.com/watch?v=mgvFT1nuTog&list=PLWC_P718eyWN45l3r0gd3kV5Ddkih8X36,11,описание,,PLWC_P718eyWN45l3r0gd3kV5Ddkih8X36,,
Без души,https://www.youtube.com/watch?v=Ur2hb8kVU0M&list=PLd0DZV0IlNdjcHi_IR1KX4UC6q0IengXB,12,коммент,,PLd0DZV0IlNdjcHi_IR1KX4UC6q0IengXB,,
KUJI,https://www.youtube.com/watch?v=ANsQ7yUTKtY&list=PL3s9UGpg5TNWy0cmWOEq1_uDUuHZ4UMSh,35,коммент,"Стоит ли брать подкасты?
",PL3s9UGpg5TNWy0cmWOEq1_uDUuHZ4UMSh,,
"Русские норм 1
",https://www.youtube.com/watch?v=x8TXX9JcK3A&list=PL8zTQAriR2m0MY1wT0qsb4iwt6KjDvwha,12,коммент,,PL8zTQAriR2m0MY1wT0qsb4iwt6KjDvwha,,
Русские норм 2,https://www.youtube.com/watch?v=hxTKqpxpnjg&list=PL8zTQAriR2m2qX3tujNPB6aEzWAlnevis,14,коммент,,PL8zTQAriR2m2qX3tujNPB6aEzWAlnevis,,
Русские норм 3,https://www.youtube.com/watch?v=T3VVn3rvPLg&list=PL8zTQAriR2m0cLZykUfGOJIMgJ1aIJRTT,51,коммент,,PL8zTQAriR2m0cLZykUfGOJIMgJ1aIJRTT,,
Вдудь,https://www.youtube.com/playlist?list=UUMCgOm8GZkHp8zJ6l7_hIuA&playnext=1&index=1,102,коммент,Выкинуть документалки; сильно перевешивает в соотношении с другими,UUMCgOm8GZkHp8zJ6l7_hIuA,,
Мезенцев,youtube.com/watch?v=n8rG1gnB36k&list=PLopThJywralEJbYkO2QDKtYodAQ6Ba-9j,16,коммент,,PLopThJywralEJbYkO2QDKtYodAQ6Ba-9j,,
Редакция,https://www.youtube.com/watch?v=rIFdIY-Qx3M&list=PLguYHBi01DWpt049DdtC4PAD748BskRKX,49,коммент,"документалки, но они сильно в стиле интервью",PLguYHBi01DWpt049DdtC4PAD748BskRKX,,
Ещенепознер,https://www.youtube.com/watch?v=Pbd2dhNjG0w&list=PLKQxqJVnCqzFLIYDNdulCa-9M7h_7H9gX,55,коммент,,PLKQxqJVnCqzFLIYDNdulCa-9M7h_7H9gX,,
